176,251
92,137
57,85
90,144
124,177
73,111
104,162
69,112
76,121
39,53
88,161
24,33
134,208
108,180
145,210
184,247
200,297
119,166
75,98
59,84
77,105
114,168
22,29
87,127
91,136
127,190
85,125
113,179
99,152
79,118
79,116
92,128
204,334
115,187
100,158
93,124
89,133
110,162
109,148
106,165
109,165
94,157
144,229
126,184
119,175
95,135
154,241
119,167
230,309
102,148
74,108
118,171
102,155
211,334
78,122
138,201
124,181
84,124
115,186
129,184
86,130
78,119
61,85
56,75
67,92
67,92
95,146
111,180
96,157
72,102
114,171
111,182
143,239
72,101
75,107
87,130
88,140
252,361
112,143
136,176
95,151
92,135
149,216
252,401
79,131
138,214
118,159
152,235
82,129
60,87
68,94
68,95
61,81
41,55
49,70
43,66
158,257
106,175
75,129
19,32
35,50
66,104
40,54
75,110
40,55
23,34
61,84
53,68
76,119
76,113
83,130
93,151
44,67
79,112
107,162
50,65
122,183
97,127
89,140
190,288
173,289
126,182
61,97
81,119
104,161
112,121
107,164
122,169
73,111
23,29
57,78
68,91
46,67
26,39
26,34
215,335
106,142
105,134
87,116
79,117
88,130
66,103
24,35
80,113
170,229
189,273
31,50
202,277
197,274
79,110
66,93
104,151
111,162
174,264
66,111
91,136
78,126
145,235
74,98
120,178
98,140
87,126
90,148
108,139
211,312
167,269
137,185
103,168
100,154
69,104
90,126
133,183
200,298
186,283
110,186
70,97
70,96
82,137
64,105
186,295
99,150
147,209
190,303
115,155
115,163
87,127
69,111
36,47
64,94
36,53
123,175
40,57
52,74
83,124
82,121
78,111
229,362
78,111
63,93
96,129
141,214
149,236
83,138
81,108
76,127
206,292
14,21
15,22
15,21
215,305
113,162
144,234
118,178
70,110
45,62
43,63
36,42
11,14
69,102
92,137
140,207
72,112
82,117
110,175
61,84
73,116
64,94
171,276
63,111
66,105
106,150
283,402
66,95
58,88
24,37
54,80
36,49
21,29
74,117
24,37
28,42
24,35
23,31
21,28
105,161
102,164
99,158
119,180
125,215
108,146
151,179
79,122
111,175
128,183
139,165
83,113
65,106
67,95
69,103
100,151
126,183
65,103
33,50
107,160
38,50
44,63
47,67
96,149
21,30
171,260
44,72
51,70
96,144
55,80
56,68
43,61
112,179
107,181
90,143
43,58
102,115
83,119
26,35
40,63
63,96
152,212
68,99
37,57
40,54
37,56
35,54
40,56
114,192
206,281
112,162
104,156
69,101
61,100
66,98
123,182
145,228
75,106
68,105
133,205
146,193
101,130
114,185
110,170
73,92
128,193
61,97
80,112
66,98
52,76
17,23
31,42
18,26
142,232
143,201
135,195
177,255
102,149
64,99
95,157
224,334
110,166
99,149
91,129
82,119
257,359
96,146
163,236
104,139
175,250
89,134
199,282
127,199
102,152
79,122
41,60
155,225
76,117
70,100
110,165
95,138
83,136
81,136
77,120
81,108
101,146
95,142
132,194
71,112
83,127
90,120
92,150
75,108
72,102
75,104
73,98
68,107
69,100
73,95
48,68
116,174
63,85
83,109
207,301
72,111
85,123
80,118
80,108
80,116
161,233
98,145
122,186
140,222
206,330
73,120
87,128
79,122
128,190
260,379
176,279
147,243
175,225
76,127
70,110
44,72
108,143
129,213
88,136
89,134
148,198
54,84
81,132
75,125
100,165
104,143
170,246
59,87
87,150
75,128
110,175
85,95
37,52
91,144
96,151
93,143
128,186
74,112
77,112
73,109
104,166
103,152
142,216
152,206
110,174
193,303
200,274
107,180
93,158
36,48
41,52
52,77
26,32
21,23
13,21
61,86
42,54
80,114
89,141
91,132
81,127
56,91
60,93
70,105
219,320
216,357
71,103
105,176
108,177
70,101
58,92
151,234
117,157
146,182
257,369
138,206
146,217
157,216
135,212
78,124
127,182
71,103
86,118
81,138
77,120
84,123
191,273
